"","runner","gender","age","course","vp","time"
"196",61,0,28,6,0,133.7
"197",61,0,29,25,0,137.5166667
"198",61,0,29,11,0,135.6666667
"199",61,0,31,63,1,132.35
"200",61,0,31,50,0,141.5
"201",61,0,32,68,1,138.3333333
"202",61,0,33,85,1,133.5833333
"204",61,0,32,73,1,134.7833333
"205",62,0,31,32,0,153.7833333
"206",62,0,30,7,0,128.05
"207",62,0,31,26,0,131.8833333
"208",63,1,24,7,0,143.85
"209",63,1,25,26,0,146.1166667
"210",63,1,26,46,0,150.7333333
"211",63,1,27,64,0,144.85
"212",63,1,28,82,0,143.4666667
"213",63,1,26,48,0,163.3833333
"214",64,1,30,85,1,157.6333333
"215",64,1,27,34,0,157.85
"216",64,1,30,89,1,156.5
"217",65,0,29,19,0,139.5666667
"218",65,0,30,38,0,146
"219",66,1,39,9,0,154.95
"220",67,0,30,3,0,142.9
"221",67,0,31,30,0,148.3333333
"222",67,0,30,2,0,138.7333333
"223",68,0,31,30,0,151.0333333
"224",68,0,30,6,0,138.8666667
"225",69,0,29.6666666666667,78,0,131.6333333
"226",69,0,27,21,0,138.55
"227",69,0,29,76,0,136.7666667
"228",69,0,29,59,0,133.4666667
"229",70,0,27,30,0,140.6833333
"230",70,0,26,6,0,135.5
"231",70,0,27,31,0,139.5666667
"232",70,0,28,50,0,142.6
"233",70,0,30,85,1,139.8666667
"234",71,0,28.8,30,0,143.2833333
"235",71,0,28,6,0,137.2833333
"236",71,0,29,40,0,140.3
"237",71,0,30,41,0,139.3
"238",71,0,31,59,1,137.8
"239",71,0,31,63,0,142.6666667
"240",72,1,34,9,0,156.1166667
"241",72,1,35,39,0,164.3166667
"242",73,0,32,8,0,140.8166667
"243",73,0,34,47,0,138.7666667
"244",74,1,27,1,0,145.15
"245",74,1,28.3333333333333,20,0,153.9333333
"246",74,1,29,40,0,150.9666667
"247",74,1,30,50,0,152.0166667
"248",75,0,28,26,0,139.7333333
"249",76,1,33,76,1,160.4833333
"250",76,1,30,22,0,158.7833333
"251",76,1,28,42,0,163.95
"252",77,1,25,6,0,155.4833333
"253",77,1,26,39,0,163.5166667
"254",78,1,32,1,0,164.4666667
"256",78,1,33,39,0,172.4333333
"257",79,1,36,41,0,165.45
"258",79,1,34,6,0,162.6666667
