"","runner","gender","age","course","vp","time"
"196",72,0,28,6,0,133.7
"197",72,0,29,25,0,137.5166667
"198",72,0,29,11,0,135.6666667
"199",72,0,31,66,1,132.35
"200",72,0,31,51,0,141.5
"201",72,0,32,71,1,138.3333333
"202",72,0,33,89,1,133.5833333
"204",72,0,32,77,1,134.7833333
"205",73,0,31,32,0,153.7833333
"206",73,0,30,7,0,128.05
"207",73,0,31,26,0,131.8833333
"208",74,1,24,7,0,143.85
"209",74,1,25,26,0,146.1166667
"210",74,1,26,46,0,150.7333333
"211",74,1,27,67,0,144.85
"212",74,1,28,86,0,143.4666667
"213",74,1,26,48,0,163.3833333
"214",75,1,30,89,1,157.6333333
"215",75,1,27,34,0,157.85
"216",75,1,30,93,1,156.5
"217",76,0,29,19,0,139.5666667
"218",76,0,30,38,0,146
"219",77,1,39,9,0,154.95
"220",78,0,30,3,0,142.9
"221",78,0,31,30,0,148.3333333
"222",78,0,30,2,0,138.7333333
"223",79,0,31,30,0,151.0333333
"224",79,0,30,6,0,138.8666667
"225",80,0,29.6666666666667,82,0,131.6333333
"226",80,0,27,21,0,138.55
"227",80,0,29,80,0,136.7666667
"228",80,0,29,62,0,133.4666667
"229",81,0,27,30,0,140.6833333
"230",81,0,26,6,0,135.5
"231",81,0,27,31,0,139.5666667
"232",81,0,28,51,0,142.6
"233",81,0,30,89,1,139.8666667
"234",82,0,28.8,30,0,143.2833333
"235",82,0,28,6,0,137.2833333
"236",82,0,29,40,0,140.3
"237",82,0,30,41,0,139.3
"238",82,0,31,62,1,137.8
"239",82,0,31,66,0,142.6666667
"240",83,1,34,9,0,156.1166667
"241",83,1,35,39,0,164.3166667
"242",84,0,32,8,0,140.8166667
"243",84,0,34,47,0,138.7666667
"244",85,1,27,1,0,145.15
"245",85,1,28.3333333333333,20,0,153.9333333
"246",85,1,29,40,0,150.9666667
"247",85,1,30,51,0,152.0166667
"248",86,0,28,26,0,139.7333333
"249",87,1,33,80,1,160.4833333
"250",87,1,30,22,0,158.7833333
"251",87,1,28,42,0,163.95
"252",88,1,25,6,0,155.4833333
"253",88,1,26,39,0,163.5166667
"254",89,1,32,1,0,164.4666667
"256",89,1,33,39,0,172.4333333
"257",90,1,36,41,0,165.45
"258",90,1,34,6,0,162.6666667
"259",90,1,37,66,1,163.15
"260",90,1,36,67,0,170.55
"261",90,1,34,9,0,171.05
"262",90,1,34.8,39,0,177.4
"264",91,0,31.2,35,0,151.35
"265",91,0,34.2,94,1,140.7333333
"266",91,0,30,7,0,142.9833333
"267",91,0,31,26,0,143.3166667
"268",91,0,31,28,0,147.75
"269",91,0,34,71,0,154.9
"270",92,0,33,11,0,143.8
"271",93,1,30,6,0,160.3333333
"272",93,1,32,66,0,169.5666667
"273",93,1,30.5,39,0,176.5833333
"274",94,1,40,1,0,174.1333333
"275",94,1,41,26,0,164.4166667
"276",94,1,41,39,0,177.1
"277",95,1,34,1,0,146.6666667
"278",96,1,30,1,0,144.9166667
"279",96,1,34,80,0,148.45
"280",96,1,31,11,0,153.3166667
"281",97,1,32,11,0,164.4333333
"282",98,1,33,40,0,157.5
"283",98,1,34,41,1,150.9
"284",98,1,35,71,1,151.2
"285",98,1,32.6666666666667,39,0,164.9666667
"286",99,1,30,11,0,158.8833333
"287",100,1,43,5,0,162.5833333
"288",100,1,43,7,0,164.9833333
"289",100,1,45,56,0,169.45
"290",101,1,35,12,0,162.85
"291",101,1,35,14,0,164.9666667
"292",101,1,36,37,0,174.1666667
"293",101,1,38,78,0,170.75
"294",101,1,39,96,0,172.85
"295",102,0,32,3,0,141.15
"296",102,0,33,26,0,139.1333333
"297",103,0,45,40,0,145.25
"298",103,0,44,20,0,154.0333333
"299",103,0,46,72,0,149.2666667
"300",103,0,43,7,0,143.2666667
"301",103,0,47,80,0,150.9666667
"302",104,1,23,11,0,164.0333333
"303",105,0,31,1,0,150.25
"304",105,0,35.75,84,0,147.1833333
"305",105,0,33,33,0,141.4833333
"306",105,0,34,47,0,141.7666667
"307",105,0,36,81,1,138.5
"308",106,0,28,26,0,139.7833333
"310",108,1,30.5,3,0,166.6833333
"311",108,1,33,42,1,159.35
"313",108,1,34.5,82,1,163.5166667
"314",108,1,31,26,0,164.3166667
"315",108,1,34.5,86,1,165.55
"316",109,0,29.3333333333333,30,0,146.1666667
"317",109,0,28,1,0,140.0666667
"318",109,0,31,61,0,161.95
"319",109,0,31,41,0,138.0166667
"320",110,0,26,3,0,138.1
"321",110,0,27,23,0,141.1166667
"323",110,0,27,30,0,155.0833333
"324",111,0,30,20,0,159.2333333
"325",111,0,29,2,0,142.6
"326",112,1,40,11,0,146.95
"327",112,1,42,51,0,152.15
"328",113,1,37,80,0,163.6666667
"329",113,1,35,42,0,158.55
"330",113,1,33,6,0,160.1666667
"331",113,1,33,9,0,164.4833333
"332",113,1,36,69,0,154.4
"333",113,1,34,39,0,170.3833333
"334",114,1,29,1,0,170.1
"335",114,1,30,2,0,162.3166667
"336",114,1,32,41,0,163.0166667
"337",114,1,29,6,0,168.5
"338",114,1,30.5,39,0,192.6
"339",115,0,30,31,0,139.2333333
"341",117,0,28,40,0,151.0666667
"342",117,0,27.25,30,0,142.9833333
"343",117,0,26,1,0,140.5833333
"344",117,0,26,6,0,137.4333333
"345",117,0,29,41,0,133.75
"346",118,1,25,26,0,159.9666667
"347",119,1,32,83,1,161.3166667
"348",119,1,29,25,0,154.9166667
"349",120,0,33,86,1,138.7333333
"350",120,0,29,1,0,143.35
"351",120,0,32,77,0,140.65
"352",121,0,20,22,0,143.4666667
"353",121,0,23,89,1,132.1166667
"354",122,1,24,6,0,162.4666667
"355",122,1,25,39,0,176.85
"356",123,0,30.2,5,0,141.55
"357",123,0,31.2,30,0,142.7833333
"358",123,0,30,7,0,134.7166667
"359",123,0,30,11,0,135.2666667
"360",123,0,31,31,0,137.2333333
"361",123,0,33,41,0,133.6833333
"362",123,0,34,89,0,138.3333333
